"Date","Ship","Tons","Nationality","U.Boat","Commander","Fate","Latitude","Longitude"
1939-09-03,"Athenia",13581,"UK","U-30","Fritz-Julius Lemp","Sunk",-14.0833333333333,56.7333333333333
1939-09-05,"Bosnia",2407,"UK","U-47","Günther Prien","Sunk",-9.75,45.4833333333333
1939-09-05,"Royal Sceptre",4853,"UK","U-48","Herbert Schultze","Sunk",-14.9833333333333,46.3833333333333
1939-09-06,"Rio Claro",4086,"UK","U-47","Günther Prien","Sunk",-12,46.5
1939-09-06,"Manaar",7242,"UK","U-38","Heinrich Liebe","Sunk",-10.8333333333333,38.4666666666667
1939-09-07,"Gartavon",1777,"UK","U-47","Günther Prien","Sunk",-11.5333333333333,47.0666666666667
1939-09-07,"Olivegrove",4060,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",-15.9666666666667,49.0833333333333
1939-09-07,"Pukkastan",5809,"UK","U-34","Wilhelm Rollmann","Sunk",-7.81666666666667,49.3833333333333
1939-09-08,"Winkleigh",5055,"UK","U-48","Herbert Schultze","Sunk",-18.2,48.1
1939-09-08,"Kennebec",5548,"UK","U-34","Wilhelm Rollmann","Sunk",-8.21666666666667,49.3
1939-09-08,"Regent Tiger",10176,"UK","U-29","Otto Schuhart","Sunk",-15.5666666666667,49.95
1939-09-10,"Goodwood",2796,"UK","U-15","Heinz Buchholz","Sunk",NA,NA
1939-09-10,"Magdapur",8641,"UK","U-13","Karl Daublebsky von Eichhain","Sunk",1.71666666666667,52.1833333333333
1939-09-11,"Blairlogie",4425,"UK","U-30","Fritz-Julius Lemp","Sunk",-15.2333333333333,54.9666666666667
1939-09-11,"Firby",4869,"UK","U-48","Herbert Schultze","Sunk",-13.8333333333333,59.6666666666667
1939-09-11,"Inverliffey",9456,"UK","U-38","Heinrich Liebe","Sunk",-11.8,48.2333333333333
1939-09-13,"Davara",291,"UK","U-27","Johannes Franz","Sunk",NA,NA
1939-09-13,"Neptunia",798,"UK","U-29","Otto Schuhart","Sunk",-14.6666666666667,49.3333333333333
1939-09-14,"Vancouver City",4955,"UK","U-28","Günter Kuhnke","Sunk",-7.05,51.3833333333333
1939-09-14,"Fanad Head",5200,"UK","U-30","Fritz-Julius Lemp","Sunk",-15.35,56.7166666666667
1939-09-14,"British Influence",8431,"UK","U-29","Otto Schuhart","Sunk",-12.8166666666667,49.7166666666667
1939-09-15,"Truro",974,"UK","U-36","Wilhelm Fröhlich","Sunk",2,58.3333333333333
1939-09-15,"Alex van Opstal",5965,"Belgium","U-26","Klaus Ewerth","Sunk",-2.26666666666667,50.5333333333333
1939-09-15,"Cheyenne",8825,"UK","U-53","Ernst-Günter Heinicke","Sunk",-13.5,50.3333333333333
1939-09-16,"Rudyard Kipling",333,"UK","U-27","Johannes Franz","Sunk",-11.1666666666667,53.8333333333333
1939-09-16,"Arkleside",1567,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",-9.5,48
1939-09-16,"Aviemore",4060,"UK","U-31","Johannes Habekost","Sunk",-13.6333333333333,49.1833333333333
1939-09-16,"City of Paris",10902,"UK","U-13","Karl Daublebsky von Eichhain","Damaged",1.71666666666667,52.2333333333333
1939-09-16,"Vega",974,"Finland","U-41","Gustav-Adolf Mugler","Captured",4,58
1939-09-16,"Suomen Poika",1099,"Finland","U-41","Gustav-Adolf Mugler","Captured",4,58
1939-09-17,"Kafiristan",5193,"UK","U-53","Ernst-Günter Heinicke","Sunk",-16.9166666666667,50.2666666666667
1939-09-17,"HMS Courageous (50)",22500,"UK","U-29","Otto Schuhart","Sunk",-14.75,50.1666666666667
1939-09-18,"Lord Minto",295,"UK","U-35","Werner Lott","Sunk",-9.46666666666667,57.85
1939-09-18,"Arlita",326,"UK","U-35","Werner Lott","Sunk",-9.46666666666667,57.85
1939-09-18,"Kensington Court",4863,"UK","U-32","Paul Büchel","Sunk",-8.45,50.5166666666667
1939-09-21,"Teakwood",6014,"UK","U-35","Werner Lott","Damaged",-6.65,49.65
1939-09-22,"Martti-Ragnar",2262,"Finland","U-4","Harro von Klot-Heydenfeldt","Sunk",NA,NA
1939-09-22,"Akenside",2694,"UK","U-7","Werner Heidel","Sunk",4.61666666666667,60.1166666666667
1939-09-23,"Walma",1361,"Finland","U-4","Harro von Klot-Heydenfeldt","Sunk",11,58.25
1939-09-24,"Caldew",287,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",-6.33333333333333,60.7833333333333
1939-09-24,"Gertrud Bratt",1510,"Sweden","U-4","Harro von Klot-Heydenfeldt","Sunk",9.86666666666667,58.6666666666667
1939-09-24,"Hanonia",1781,"Estonia","U-34","Wilhelm Rollmann","Captured",6.2,57.5833333333333
1939-09-24,"PhrynÃ©",2660,"France","U-13","Karl Daublebsky von Eichhain","Sunk",1.71666666666667,52.15
1939-09-24,"Hazelside",4646,"UK","U-31","Johannes Habekost","Sunk",-9.36666666666667,51.2833333333333
1939-09-25,"Silesia",1839,"Sweden","U-36","Wilhelm Fröhlich","Sunk",4.8,58.45
1939-09-27,"Algeria",1617,"Sweden","U-36","Wilhelm Fröhlich","Captured",4.13333333333333,58.45
1939-09-28,"Jern",875,"Norway","U-32","Paul Büchel","Sunk",NA,NA
1939-09-28,"Nyland",3378,"Sweden","U-16","Hannes Weingärtner","Sunk",NA,NA
1939-09-29,"Takstaas",1830,"Norway","U-7","Werner Heidel","Total.Loss",4.68333333333333,60.25
1939-09-30,"Vendia",1150,"Denmark","U-3","Joachim Schepke","Sunk",7.8,57.65
1939-09-30,"Gun",1198,"Sweden","U-3","Joachim Schepke","Sunk",7.91666666666667,57.45
1939-10-01,"Suzon",2239,"Belgium","U-35","Werner Lott","Sunk",-7.6,48.1333333333333
1939-10-03,"Diamantis",4990,"Greece","U-35","Werner Lott","Sunk",NA,NA
1939-10-04,"Glen Farg",876,"UK","U-23","Otto Kretschmer","Sunk",-1.51666666666667,58.8666666666667
1939-10-05,"Marwarri",8063,"UK","U-32","Paul Büchel","Damaged",NA,NA
1939-10-06,"Lochgoil",9462,"UK","U-32","Paul Büchel","Damaged",-4,51.4
1939-10-07,"Binnendijk",6873,"Netherlands","U-26","Klaus Ewerth","Sunk",-2.33333333333333,50.5333333333333
1939-10-08,"Vistula",1018,"Sweden","U-37","Werner Hartmann","Sunk",NA,NA
1939-10-12,"Aris",4810,"Greece","U-37","Werner Hartmann","Sunk",-14.5,53.4666666666667
